axis,value,scene,layer,readout,result
A_Care_Compassion,0.16666666666666666,S_vulnerable,S8,prior:A:hide,0.25668025297339236
A_Care_Compassion,0.16666666666666666,S_vulnerable,S8,prior:A:wait,0.576301708372936
A_Care_Compassion,0.16666666666666666,S_vulnerable,S8,prior:B:help,0.06348592405603436
A_Care_Compassion,0.16666666666666666,S_vulnerable,S8,prior:B:harm,0.11622055052300864
A_Care_Compassion,0.16666666666666666,S_vulnerable,S8,prior:B:ask_info,0.9311934766870444
A_Care_Compassion,0.16666666666666666,S_vulnerable,S8,prior:B:avoid,0.1036647521201274
A_Care_Compassion,0.16666666666666666,S_vulnerable,S8,prior:B:confront,0.5636951672128961
A_Care_Compassion,0.16666666666666666,S_vulnerable,S8,prior:B:comfort,0.3131254993984
A_Care_Compassion,0.16666666666666666,S_vulnerable,S8,prior:B:praise,0.2468874129872
A_Care_Compassion,0.16666666666666666,S_vulnerable,S8,prior:B:apologize,0.2830172783024
A_Care_Compassion,0.16666666666666666,S_vulnerable,S8,prior:B:share_resource,0.2167791918912
A_Care_Compassion,0.16666666666666666,S_vulnerable,S8,prior:B:treat,0.1926926150144
A_Care_Compassion,0.16666666666666666,S_vulnerable,S8,prior:B:guard,0.2950605667408
A_Care_Compassion,0.16666666666666666,S_vulnerable,S8,prior:B:escort,0.2288224803296
A_Care_Compassion,0.16666666666666666,S_vulnerable,S8,prior:B:command,0.264295625
A_Care_Compassion,0.16666666666666666,S_vulnerable,S8,prior:B:threaten,0.28031354166666667
A_Care_Compassion,0.16666666666666666,S_vulnerable,S8,prior:B:accuse,0.26429562500000003
A_Care_Compassion,0.16666666666666666,S_vulnerable,S8,prior:B:investigate,0.205
A_Care_Compassion,0.16666666666666666,S_vulnerable,S8,prior:B:observe_target,0.35000000000000003
A_Care_Compassion,0.16666666666666666,S_vulnerable,S8,prior:B:verify,0.17500000000000002
A_Care_Compassion,0.16666666666666666,S_vulnerable,S8,prior:B:talk,0.44166666666666665
A_Care_Compassion,0.16666666666666666,S_vulnerable,S8,prior:B:negotiate,0.395
A_Care_Compassion,0.16666666666666666,S_vulnerable,S8,prior:B:signal,0.28
A_Care_Compassion,0.16666666666666666,S_vulnerable,S8,prior:B:call_backup,0.35000000000000003
A_Care_Compassion,0.16666666666666666,S_vulnerable,S8,prior:B:propose_trade,0.28
A_Care_Compassion,0.16666666666666666,S_vulnerable,S6,drv:safetyNeed,0.07267500000000002
A_Care_Compassion,0.16666666666666666,S_vulnerable,S6,drv:controlNeed,0.62488305
A_Care_Compassion,0.16666666666666666,S_vulnerable,S6,drv:statusNeed,0.06655842912004047
A_Care_Compassion,0.16666666666666666,S_vulnerable,S6,drv:affiliationNeed,0.6240857593144472
A_Care_Compassion,0.16666666666666666,S_vulnerable,S6,drv:resolveNeed,0.05516461463052375
A_Care_Compassion,0.16666666666666666,S_vulnerable,S6,drv:restNeed,0
A_Care_Compassion,0.16666666666666666,S_vulnerable,S6,drv:curiosityNeed,0.4978814141705625
A_Care_Compassion,0.16666666666666666,S_vulnerable,S8,act:aff:submit:A:B,0.375
A_Care_Compassion,0.16666666666666666,S_vulnerable,S8,act:aff:escort:A:B,0.125
A_Care_Compassion,0.16666666666666666,S_vulnerable,S8,act:aff:negotiate:A:B,0.25
A_Care_Compassion,0.16666666666666666,S_vulnerable,S8,act:aff:avoid:A:B,0.25
A_Care_Compassion,0.16666666666666666,S_vulnerable,S8,q:aff:negotiate:A:B,0.6121728109557295
A_Care_Compassion,0.16666666666666666,S_vulnerable,S8,q:aff:escort:A:B,0.326486231925793
A_Care_Compassion,0.16666666666666666,S_vulnerable,S8,q:cog:monologue:A,0.11528027174377822
A_Care_Compassion,0.16666666666666666,S_vulnerable,S8,q:aff:guard:A:B,0.055761961607216526
A_Care_Compassion,0.16666666666666666,S_vulnerable,S8,q:aff:avoid:A:B,-0.055882403736668196
A_Care_Compassion,0.16666666666666666,S_vulnerable,S8,q:aff:submit:A:B,-0.06462434653784789
A_Care_Compassion,0.16666666666666666,S_vulnerable,S8,q:con:challenge:A:B,-0.10443960097926222
A_Care_Compassion,0.16666666666666666,S_vulnerable,S8,q:aff:loot:A,-0.13090449289556136
A_Care_Compassion,0.16666666666666666,S_vulnerable,S8,q:cog:wait:A,-0.19999999999999998
A_Care_Compassion,0.16666666666666666,S_vulnerable,S8,q:aff:rest:A,-0.19999999999999998
A_Care_Compassion,0.16666666666666666,S_vulnerable,S8,action_entropy,1.9056390622295665
A_Care_Compassion,0.16666666666666666,S_vulnerable,STATE,stress,0
A_Care_Compassion,0.16666666666666666,S_vulnerable,STATE,ctxDanger,0.15000000000000002
A_Care_Compassion,0.3333333333333333,S_vulnerable,S7,goal:affiliation,0.4057605877452404
A_Care_Compassion,0.3333333333333333,S_vulnerable,S7,goal:control,0.35450401870844556
A_Care_Compassion,0.3333333333333333,S_vulnerable,S7,goal:exploration,0.3261072461830851
A_Care_Compassion,0.3333333333333333,S_vulnerable,S7,goal:wealth,0.13919474346779026
A_Care_Compassion,0.3333333333333333,S_vulnerable,S7,goal:status,0.05244537697960395
A_Care_Compassion,0.3333333333333333,S_vulnerable,S7,goal:safety,0
A_Care_Compassion,0.3333333333333333,S_vulnerable,S7,goal:order,0
A_Care_Compassion,0.3333333333333333,S_vulnerable,S7,goal:rest,0.03471247904785934
A_Care_Compassion,0.3333333333333333,S_vulnerable,S7,util:reduce_self_threat,0.07849870422922339
A_Care_Compassion,0.3333333333333333,S_vulnerable,S7,util:stabilize_other,0.4057605877452404
A_Care_Compassion,0.3333333333333333,S_vulnerable,S7,util:verify_claim,0.15
A_Care_Compassion,0.3333333333333333,S_vulnerable,S7,util:preserve_cooperation,0.4057605877452404
A_Care_Compassion,0.3333333333333333,S_vulnerable,S7,util:confront_threat_source,0.15
A_Care_Compassion,0.3333333333333333,S_vulnerable,S7,util:restore_self_control,0.15
A_Care_Compassion,0.3333333333333333,S_vulnerable,S7,util:maintain_trust_signal,0.4057605877452404
A_Care_Compassion,0.3333333333333333,S_vulnerable,S7,util:deescalate_interaction,0.15
A_Care_Compassion,0.3333333333333333,S_vulnerable,S7,util:protect_status_position,0.08865777206749632
A_Care_Compassion,0.3333333333333333,S_vulnerable,S7,util:recover_resources,0.15
